name,voteCount,rating,address,cusine,cost,timing,lat,long
Peter Cat,12404 votes,4.2,"18A, Park Street, Park Street Area, Kolkata","North Indian, Continental","₹1,000",11am – 11:20pm (Mon-Sun),22.5528321,88.352399
One Step Up,1770 votes,4.1,"18A, Park Street, Park Street Area, Kolkata","Bakery, Desserts","₹1,000",12noon – 11pm (Mon-Sun),22.5528321,88.352399
Carpe Diem,4083 votes,4.4,"18M, Park Street Area, Kolkata",Ice Cream,"₹1,000","12noon – 12midnight (Mon, Tue, Wed, Thu, Fri...",22.5526415,88.3526536
Barbeque Nation,5455 votes,4.6,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",Ice Cream,"₹1,800","12noon – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)",22.551118,88.35392
Flurys,4709 votes,4.2,"15, Apeejay House, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,7:30am – 11pm (Mon-Sun),22.5547536,88.3520505
KFC,2135 votes,4.1,"20K, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹450,11am – 11pm (Mon-Sun),22.5522042,88.3529781
Tung Fong,3644 votes,4.3,"25 B, Ground Floor, Karnani Mansion, Free School Street, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000","12noon – 4pm, 6pm – 11pm (Mon-Sun)",22.5534219,88.3532809
Arsalan,1500 votes,4,"119 A, Muzaffar Ahmed Street, Mirza Ghalib Street Crossing, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","₹1,000",11am – 11:45pm (Mon-Sun),22.5536456,88.3552867
Kusum Rolls,1973 votes,4.1,"21, Karnani Mansion, Park Street Area, Kolkata","Bakery, Desserts, Sandwich",₹300,12noon – 11pm (Mon-Sun),22.553534,88.35213185
Kareem's,1027 votes,4.3,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata","Bakery, Desserts, Sandwich","₹1,200","12:30pm – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)",22.5540799,88.3540231
WOW! China,53 votes,3.8,"19-57, Park Street Area, Kolkata","Fast Food, Burger",₹650,12noon – 11pm (Mon-Sun),22.5544373,88.352693
Golden Spoon,1000 votes,3.6,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Fast Food, Burger",₹600,12noon – 11pm (Mon-Sun),22.5495374,88.3519056
Baskin Robbins,155 votes,3.9,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata",Bengali,₹300,10:30am – 9:30pm (Mon-Sun),22.5495374,88.3519056
BarBQ,8321 votes,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, Asian","₹1,200",12noon – 11:15pm (Mon-Sun),22.5523997,88.3534288
The Kebab Factory,Cuisines:,NEW,"33, Royd Street, Park Street Area, Kolkata","Chinese, Asian",₹350,11am – 11pm (Mon-Sun),22.5521357,88.3571172
Patisserie By Franziska,Cuisines:,,"13C, Russell Street, Opposite Bengal Club, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani",₹450,,22.55316465,88.3510754
The Sixth Sense,92 votes,4,"25B, Karnani Mansion, Opposite Westside, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani","₹1,500","12noon – 12midnight (Mon-Thu),12noon – 2am...",22.5538861,88.3534294
Food King,23 votes,3.3,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",Rolls,₹300,12noon – 11:30pm (Mon-Sun),22.139887,87.7548472
Burgrill,888 votes,4.2,"12B/2, Park Street Park, Opposite Oxford Book Store, Park Street Area, Kolkata",Rolls,₹500,11am – 2am (Mon-Sun),23.05316,87.2631015
Zainab Biryani,Cuisines:,NEW,"19, Alimuddin Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹400,11am – 11pm (Mon-Sun),22.5549295,88.3622137
The Crepe Cafe,81 votes,4.4,"6/1A, Middleton Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹800,10:30am – 10:30pm (Mon-Sun),22.387312,87.3145079
Waffle Wallah,979 votes,4.2,"18 G, Stephen Court, Park Street Area, Kolkata","Chinese, Burmese",₹450,8am – 11pm (Mon-Sun),22.5529626,88.3523187
Shiraz Golden Restaurant,2552 votes,4,"135, Park Street Area, Kolkata","Chinese, Burmese",₹600,12noon – 11:30pm (Mon-Sun),22.546735,88.361816
Moulin Rouge,1019 votes,3.8,"31, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹700,12noon – 11:30pm (Mon-Sun),22.5535745,88.353147
Pizza Hut,66 votes,3.7,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",₹600,11am – 1am (Mon-Sun),22.5515999,88.3527372
NFC Food Funda,71 votes,3.9,"48, AJC Bose Road, Near Mother Teresa House, Park Street Area, Kolkata","Chinese, North Indian, Asian",₹200,12:30pm – 12midnight (Mon-Sun),22.5530454,88.3636775
1000 BC,341 votes,3.9,"Ground Floor, 1, Camac Street, Park Street Area, Kolkata","Chinese, North Indian, Asian","₹1,000",12noon – 2am (Mon-Sun),22.5453874,88.352494
Eaterniaa,505 votes,4.1,"111, Ripon Street, Near Ripon Street Police Museum, Park Street Area, Kolkata",Kebab,₹500,11:30am – 12midnight (Mon-Sun),22.56620935,88.36469295
Barista,45 votes,3.5,"57, Park Street, Park Street Area, Kolkata",Kebab,₹600,8am – 11pm (Mon-Sun),22.552169,88.3534559
Hot Kati Roll,816 votes,3.8,"1B, Park Estate, Park Street Area, Kolkata","Bakery, Desserts",₹200,11am – 10pm (Mon-Sun),22.54915445,88.3567487
Domino's Pizza,99 votes,3.9,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata","Continental, Chinese, North Indian",₹400,11am – 3am (Mon-Sun),22.5542634,88.350946
Aqua - The Park,801 votes,4,"The Park, 17, Park Street Area, Kolkata","Continental, Chinese, North Indian","₹3,000",,22.55409105,88.3518477
Zen - The Park,366 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹4,000",,22.55409105,88.3518477
Saffron - The Park,355 votes,4.1,"The Park, 17, Park Street Area, Kolkata","Pizza, Desserts, Fast Food","₹1,900",,22.55409105,88.3518477
Roll It Out,80 votes,3.9,"2, Middle Row, Park Street Area, Kolkata","Chinese, Fast Food",₹350,"11am – 1am (Mon),11am – 3am (Tue-Sun)",22.5492062,88.3576466
Paradise Biryani,Cuisines:,NEW,"Shop 30 D, Ground Floor, Building Chowringhee Mansion, Jawaharlal Nehru Road, Park Street Area, Kolkata","Chinese, Fast Food",₹800,11am – 11pm (Mon-Sun),22.5560941,88.3510232
Nawab Dum Biryani,21 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food",₹500,11am – 4am (Mon-Sun),22.6096528,87.8397615
Midnight Bites,866 votes,3.7,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","North Indian, Finger Food, Chinese",₹400,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Dawat-E-Biryani,11 votes,3.2,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Italian, Continental",₹300,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Schezwan Kitchen,13 votes,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Beverages, Fast Food",₹250,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Burger Bites,52 votes,3.5,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹200,6pm – 4am (Mon-Sun),22.6096528,87.8397615
Middy's Chef Roll,50 votes,3.6,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Chinese, Cantonese",₹250,6pm – 4am (Mon-Sun),22.6096528,87.8397615
The Bridge - The Park,676 votes,4,"The Park, 17, Park Street, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food","₹3,000",12noon – 11pm (Mon-Sun),22.5540253,88.35171705
The Street - The Park,388 votes,3.8,"The Park, 17, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹900,,22.5540253,88.35171705
Koshe Kosha,640 votes,4,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata","Biryani, Mughlai",₹700,11am – 11pm (Mon-Sun),22.3909989,87.32251695
The GT Route - Jameson Inn Shiraz,167 votes,3.9,"56, Park Street Area, Kolkata","Biryani, Mughlai",₹850,"12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)",22.5462322,88.3617718
Park Pavilion - Jameson Inn Shiraz Hotel,169 votes,3.8,"56, Park Street Area, Kolkata",Rolls,"₹1,200",24 Hours (Mon-Sun),22.5462322,88.3617718
Aurum Club & Kitchen,577 votes,4.1,"1/1, Camac Street, Opposite Allen Park, Park Street Area, Kolkata",Cafe,"₹1,000",1pm – 2am (Mon-Sun),22.3909989,87.32251695
Sienna Store & Cafe,Cuisines:,,"24, 1st Floor, Development House, Park Street Area, Kolkata",Cafe,₹900,,22.5509865,88.3536299
Trincas,1465 votes,4.1,"17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","₹1,500",11:30am – 11:30pm (Mon-Sun),22.5541934,88.3519831
Lost in Taste,23 votes,3.2,"115, Muzaffar Ahmed Street Adjacent, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹500,12noon – 3am (Mon-Sun),22.5538284,88.3547021
WOW! Momo,66 votes,3.9,"1, Ho Chi Minh Sarani, Opposite to Central, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",₹350,10:30am – 10pm (Mon-Sun),22.54699945,88.35072905
SpiceKlub,1137 votes,4.2,"1st Floor, 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata","North Indian, Finger Food, Chinese","₹2,100","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",22.5510082,88.3539222
Best of Gupta's,78 votes,3.6,"53C, Mirza Galib Street, New Market Area, Kolkata","Pizza, Desserts, Fast Food",₹800,11am – 11pm (Mon-Sun),22.5545629,88.3537179
Grill & Shakes,34 votes,3.5,"94, Ripon Street, Park Street Area, Kolkata",Fast Food,₹350,12noon – 12midnight (Mon-Sun),22.5538521,88.3582488
Juice+,29 votes,3.2,"94, Ripon Street, Park Street Area, Kolkata","North Indian, Continental, South Indian, Chinese",₹200,11am – 11pm (Mon-Sun),22.5538521,88.3582488
Leafy Affaire The Cafe,85 votes,3.9,"10 B, Sir William Jones, Sarani, Park Street Area, Kolkata",Fast Food,₹500,8am – 9pm (Mon-Sun),22.5511976,88.3526767
Oasis,918 votes,3.8,"33, Park Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",₹900,11am – 11:30pm (Mon-Sun),22.5532517,88.3522311
The Food King,6 votes,3.1,"94A, Ground Floor, Ripon Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",₹250,12noon – 11:30pm (Mon-Sun),22.5536064,88.3588103
Kung Pao,159 votes,4.4,"57 A, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food",₹800,12:30pm – 4:30am (Mon-Sun),22.5525065,88.3531414
Don Giovanni's Good Fellas,967 votes,4.2,"57 A, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",₹800,12:30pm – 1am (Mon-Sun),22.5525065,88.3531414
The Burger Factory,71 votes,4.1,"57 A, Park Street Area, Kolkata","Biryani, North Indian",₹500,12noon – 4am (Mon-Sun),22.5525065,88.3531414
Waldorf,504 votes,3.5,"13D, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food","₹1,000",12noon – 11pm (Mon-Sun),22.556006,88.3528253
Golden Dragon,1287 votes,3.9,"40A, 57, Park Mansion, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",₹600,"Closed (Mon),12noon – 10:45pm (Tue-Sun)",22.5526758,88.3532644
Neelam Restaurant,16 votes,3,"40 B, Ground Floor, Acharya Jagadish Chandra Bose Road, Park Street Area, Kolkata",Rolls,₹300,"12noon – 4:30pm, 7:15pm – 12midnight (Mon-Sun)",22.5492727,88.3575616
Wabi Sabi,Cuisines:,,"24, 1st Floor, Anuj Chambers, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",₹950,,22.55107665,88.353917
Haldiram's Express,9 votes,2.9,"195, Park Street Area, Kolkata","Continental, Seafood, Italian, North Indian",₹350,11am – 11pm (Mon-Sun),22.5438809,88.3653195
Silver Spoon,51 votes,3.6,"35/1A, Mcleod Street, Park Street Area, Kolkata","Pizza, Fast Food",₹400,6pm – 3am (Mon-Sun),22.6096528,87.8397615
Crazy 4 Cakes,Cuisines:,NEW,"7/1, Russel Street, Park Street Area, Kolkata","Pizza, Fast Food",₹200,10:30am – 9:30pm (Mon-Sun),22.5126466,87.83108305
The Cave,321 votes,4.3,"12, Russel Street Area, Kolkata",Finger Food,"₹1,200",11am – 11pm (Mon-Sun),22.5521498,88.351511
The Biryani Mahal,124 votes,3.5,"54/2, Rafi Ahmed, Kidwai Road, Park Street Area, Kolkata",Finger Food,₹400,11am – 4am (Mon-Sun),22.94494465,87.87153105
Sams Pub,Cuisines:,,"13D, Park Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food","₹1,000",,22.5538152,88.3516696
Rollick,411 votes,4.2,"1A, Russel Street, Park Street Area, Kolkata","Rolls, Chinese, Fast Food",₹300,"12noon – 11pm (Mon-Fri),1pm – 11:30pm (Sat-Sun)",22.55394,88.350961
UBQ by Barbeque Nation,67 votes,3.5,"1st Floor, Park Center, Building 24, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹200,"12noon – 3pm, 6:30pm – 11pm (Mon-Sun)",22.5497552,88.35662315
Metro Icecream,56 votes,3.7,"12A, Park Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",₹100,10am – 10pm (Mon-Sun),22.5538271,88.3515898
Noodle Time,217 votes,3.8,"94A, Ripon Street, Kolkata","Biryani, North Indian, Chinese",₹400,12noon – 11pm (Mon-Sun),22.5537342,88.3581624
Parantha Pundit,Cuisines:,-,"13, Ho Chi Minh Sarani, Kankaria Estates, Park Street Area, Kolkata","Biryani, North Indian, Chinese",₹200,11am – 11pm (Mon-Sun),22.5475269,88.3496753
Chicken King N Pizza Day,6 votes,3,"1, KYD Street, Palace Court, Park Street Area, Kolkata","Italian, Continental",₹300,8:30am – 11pm (Mon-Sun),22.5554939,88.3511779
The Firangi Food Smith,56 votes,3.6,"12B/2, Park Street Area, Kolkata",Bengali,₹750,8am – 12midnight (Mon-Sun),23.05316,87.2631015
The Accord,141 votes,3.7,"The Corporate, 4, Royd Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",₹500,7:30am – 11pm (Mon-Sun),22.5529555,88.3542994
Rahmania,386 votes,3.5,"56, Park Street, Park Street Area, Kolkata","North Indian, Awadhi, Bengali",₹700,12noon – 10:30pm (Mon-Sun),22.5462322,88.3617718
Happiness Station,10 votes,3.3,"Metro Plaza Mall, Near Tata Steel, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",₹300,11:30am – 9:30pm (Mon-Sun),22.5465876,88.3489486
Biryanishk By The Biryani Company,5 votes,2.9,"43, Mirza Ghalib Street, Park Street Area, Kolkata","Chinese, Fast Food, North Indian, Mexican",₹450,11am – 12midnight (Mon-Sun),22.5551692,88.3541188
Dreamland Restaurant & Bar,89 votes,3.7,"83A, Park Street, Park Street Area, Kolkata","Healthy Food, Salad, Juices",₹500,12noon – 10pm (Mon-Sun),22.5504908,88.3553073
Floriana,144 votes,3.5,"13D, Middleton Row, Park Street Area, Kolkata","Chinese, North Indian, Continental","₹1,000",11am – 11pm (Mon-Sun),22.5515337,88.3527217
Rajnigandha Bar,10 votes,3.2,"13D, Middleton Row, Park Street Area, Kolkata",North Indian,"₹1,300",11am – 11pm (Mon-Sun),22.5515337,88.3527217
Magnolia,593 votes,3.4,"12K, Park Street, Near Park Hotel, Park Street Area, Kolkata","Chinese, Thai, Japanese","₹1,200",11am – 10:45pm (Mon-Sun),22.5492062,88.35757205
Bombay Toastee,34 votes,4.1,"18 G, Municipal Corporation, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹200,8am – 11pm (Mon-Sun),22.6759958,88.32972875
Ramesh Chilla Wala,6 votes,3.1,"Russel Street, Near Bombay Dyeing, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹100,4pm – 10pm (Mon-Sun),22.5527743,88.3511636
The Good Food Cafe,10 votes,3.2,"18G, Park Street Area, Kolkata","Tibetan, Momos","₹1,200",8am – 9pm (Mon-Sun),22.5526422,88.3526446
The Hot Kati Roll,7 votes,3.1,"23, Mcleod Street, Park Street Area, Kolkata","Tibetan, Momos",₹250,12noon – 3am (Mon-Sun),22.5493513,88.3598366
Universal Cafe,10 votes,3.2,"23 A, Royd Street, Park Street Area, Kolkata","Chinese, Pizza, Burger",₹300,12noon – 11pm (Mon-Sun),22.5523814,88.3563351
Arambagh Restaurant,4 votes,3,"45, Mirza Ghalib Street, Kolkata, Park Street Area, Kolkata","Chinese, Pizza, Burger",₹250,11am – 11pm (Mon-Sun),22.5549982,88.3540459
Shireen Biryani And Fast Food,6 votes,3,"40/1, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",North Indian,₹350,12:30pm – 12midnight (Mon-Sun),22.46449015,87.8272969
Grill Sandwich & Juice,35 votes,3.6,"23/A, Royd Street, Park Street Area, Kolkata","North Indian, Bengali",₹400,"8am – 9pm (Mon-Sat),Closed (Sun)",22.41594975,87.7929456
Cafe Coffee Day Square,79 votes,3.4,"55 Park Street, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹700,8am – 12midnight (Mon-Sun),22.5528423,88.3528128
Danish Biryani Hub,18 votes,3.3,"189, Park Street Area, Kolkata","North Indian, Chinese, Fast Food",₹200,11am – 11pm (Mon-Sun),22.5438809,88.3653195
Wow Chicken,11 votes,3.3,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata","Beverages, Fast Food",₹200,12noon – 4am (Mon-Sun),22.54308585,88.3696808
Burger Express,9 votes,3.1,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata",Cafe,₹300,12noon – 4am (Mon-Sun),22.54308585,88.3696808
Hunger Bites,Cuisines:,-,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata",Street Food,₹400,12noon – 4am (Mon-Sun),22.54308585,88.3696808
Silver Grill,324 votes,2.3,"18E, Park Street, Park Street Area, Kolkata","Salad, Italian, Burmese, Mexican",₹800,11am – 11pm (Mon-Sun),22.553232,88.3522194
Suruchi,45 votes,3.5,"89, Elliot Road, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹200,"10:30am – 5:45pm (Mon-Fri),10:30am – 4pm...",22.5509192,88.3608029
Starlit Garden Bar,61 votes,3.5,"31, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹500,12noon – 11pm (Mon-Sun),22.553374,88.351873
The Roll Shop,33 votes,3.2,"31, Park Street, Park Street Area, Kolkata","Chinese, Bengali",₹250,11am – 11pm (Mon-Sun),22.553374,88.351873
Sweet Temptations,8 votes,3.1,"Flat 2B, 2nd Floor, Sitar Building, Commissariate Road, Hastings, Park Street Area, Kolkata","Chinese, Bengali",₹150,10am – 10pm (Mon-Sun),22.54942905,88.3567955
Balaram Mullick & Radharaman Mullick Sweets,495 votes,4.1,"22, Park Street, Park Street Area, Kolkata","Chinese, Thai",₹300,10am – 9pm (Mon-Sun),22.5517004,88.3534738
Baba Fast Food,43 votes,3.4,"27B, Park Street, Park Street Area, Kolkata","Chinese, Thai",₹300,12noon – 10:30pm (Mon-Sun),22.553635,88.3524619
The Pancake Centre,30 votes,3.6,"Food Court, Metro Shopping Centre, 1 Ho Chi Minh Sarani, Park Street Area, Kolkata","Chinese, Asian",₹200,12noon – 9:30pm (Mon-Sun),22.5465876,88.3489486
Kaveh - House Of Nawabs,6 votes,3.2,"85, Park Street Area, Kolkata","Chinese, Cantonese",₹400,12noon – 2am (Mon-Sun),22.5442641,88.3647888
Adraq,17 votes,3.4,"SilverKey Executive Stays 30334, 163 A, Terrace Floor, Park Street Main Road, Park Street Area, Kolkata","Italian, Thai, Chinese, Burger",₹300,11am – 11pm (Mon-Sun),22.5452862,88.363473
Haan 'D' Biryani,332 votes,3.8,"55, Ripon Street, Park Street Area, Kolkata","North Indian, Mughlai, Biryani",₹400,1pm – 10pm (Mon-Sun),22.55274,88.3627385
Ilish Truly Bong Restaurant,137 votes,4,"83 B, Park Street Area, Kolkata","North Indian, Mughlai, Biryani","₹1,200",12noon – 11pm (Mon-Sun),22.5501979,88.3552024
Lazeez Express,Cuisines:,-,"Hotel Royal Garden, 163A, Park Street Main Road, Park Street Area, Kolkata","Italian, Continental",₹500,12noon – 4am (Mon-Sun),22.5452876,88.3634675
Chopstick,Cuisines:,-,"67, Elliot Road, Park Street Area, Kolkata","Italian, Continental",₹150,11am – 11pm (Mon-Sun),22.5512412,88.3590886
The Co Dee Empresa Hotel,Cuisines:,-,"12/2A, KYD Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",₹100,7:30am – 10:30pm (Mon-Sun),22.5183089,87.3626901
The Fast Food Center,Cuisines:,-,"1, Camac Street, Park Street Area, Kolkata","North Indian, Street Food, Bengali",₹200,11am – 10pm (Mon-Sun),22.5453874,88.352494
Subway,535 votes,3.8,"57A, Park Mansion, Park Street Area, Kolkata",Chinese,₹500,12noon – 10pm (Mon-Sun),22.552825,88.35331385
Burger Bros,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata",Chinese,₹350,8am – 9pm (Mon-Sun),22.5511976,88.3526767
Tasty Tales,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Bakery, Desserts, Fast Food",₹350,"8am – 9pm (Mon-Sat),11am – 9pm (Sun)",22.5511976,88.3526767
Momma's Soup,Cuisines:,-,"10B, Sir William Jones Sarani, Park Street Area, Kolkata","Ice Cream, Desserts",₹350,8am – 9pm (Mon-Sun),22.5511976,88.3526767
The Cafe Harmony,Cuisines:,-,"4, Royd Street, Opposite Royd Nursing Home, Park Street Area, Kolkata","Bakery, Desserts, Fast Food","₹1,000",12noon – 10:30pm (Mon-Sun),22.5530865,88.3542939
The Food Corner,Cuisines:,,"1, Waliullah Lane, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹150,,22.557227,88.358996
Pizza Gully,Cuisines:,-,"13, Ho Chi Minh Sarani, Kankaria Estates, Tata Centre, Metro Shopping Plaza, Park Street Area, Kolkata","Chinese, North Indian, Continental",₹400,12noon – 11pm (Mon-Sun),22.55487255,88.33662135
Uddta Punjab Dhaba,233 votes,4.2,"57 A, 1st Floor, Park Street Area, Kolkata","Biryani, North Indian",₹650,12noon – 4am (Mon-Sun),22.5527177,88.353126
Bhikharam Chandmal,76 votes,3.4,"46 C, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata","North Indian, Chinese, Continental",₹200,8am – 9pm (Mon-Sun),22.551158,88.355731
Wok This Way,Cuisines:,-,"20, 1st & 2nd Floor, Mirza Ghalib Street Park Street Area, Kolkata","North Indian, Chinese, Continental",₹250,12noon – 11pm (Mon-Sun),22.5540564,88.353664
Kolkata Taj Biryani,6 votes,3.3,"110/A, Ground Floor, Ripon Street, Park Street Area, Kolkata","Ice Cream, Desserts",₹150,11am – 11pm (Mon-Sun),22.4888337,87.8626351
Bombay Restaurant,Cuisines:,NEW,"Ground Floor, 114A, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",₹400,11am – 11pm (Mon-Sun),22.5442488,88.3648094
Naasta On Wheels,Cuisines:,NEW,"8/1A, Little Russel Street, Park Street Area, Kolkata","North Indian, Biryani, Kebab, BBQ, Desserts",₹500,11am – 11pm (Mon-Sun),22.3892571,87.284103
Zam Zam,1728 votes,4.3,"28/A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",Ice Cream,₹700,12noon – 12midnight (Mon-Sun),22.46130295,87.84247865
Mezban,2305 votes,3.8,"6, Ripon Street, Near Triangular Park, Wellesley, Kolkata",Ice Cream,₹500,10am – 12:59am (Mon-Sun),22.55412355,88.356911
Blue And Beyond,2515 votes,3.9,"The Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata",Chinese,"₹1,600",12noon – 11pm (Mon-Sun),22.559186,88.3533632
The Awadh Restaurant,1837 votes,4.2,"17, Park Circus Area, Kolkata",Chinese,₹900,11am – 12midnight (Mon-Sun),22.538417,88.3673879
Chowman,1169 votes,4.4,"3, Ho Chi Minh Sarani, Little Rusell Street Post Office, Camac Street Area, Kolkata","North Indian, Beverages","₹1,000",12noon – 10:30pm (Mon-Sun),22.5466778,88.3501518
Oh! Calcutta,1910 votes,4.4,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","North Indian, Beverages","₹1,800","12:45pm – 3pm, 7pm – 11pm (Mon-Fri),12noon –...",22.4227349,87.3274869
Cafe Mezzuna,3763 votes,4.5,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","Fast Food, North Eastern, Momos","₹1,600","12:30pm – 11pm (Mon),12noon – 11pm (Tue-Sun)",22.4227349,87.3274869
Royal Indian Restaurant,2010 votes,4.1,"24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Fast Food, North Indian, Chinese",₹700,11am – 1am (Mon-Sun),22.5408197,88.3653868
Saima Restaurant,1502 votes,3.6,"59E, Chowringhee Road, Near Rabindra Sadan Metro, Elgin, Kolkata","Fast Food, North Indian, Chinese",₹500,10:30am – 10:30pm (Mon-Sun),22.54226505,88.3462038
TGI Fridays,2398 votes,4.2,"Forum Mall, 10/3, Elgin Road, Elgin, Kolkata","Biryani, North Indian, Fast Food","₹1,800",12noon – 12midnight (Mon-Sun),22.5383518,88.3509101
ACS Chinese Flavour,845 votes,3.6,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata","Biryani, North Indian, Fast Food",₹350,12noon – 11pm (Mon-Sun),22.5528109,88.3583016
Hogg's Room,615 votes,4.3,"Hotel Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata","Ice Cream, Desserts, Beverages",₹800,1pm – 9pm (Mon-Sun),22.559186,88.3533632
Zafran,333 votes,3.8,"28/2C, Hare Krishna Konar Road, Entally, Kolkata","Ice Cream, Desserts, Beverages",₹300,12:30pm – 12midnight (Mon-Sun),22.46130295,87.84247865
New Noodle King,250 votes,4.5,"28/H/23, Sir Sayed Ahmed Road, Poddopukur Moidan, Near Alisa Asiana Hall, Park Circus Area, Kolkata","Chinese, Italian, Continental",₹450,11am – 3am (Mon-Sun),22.46130295,87.84247865
Kabuliwala,92 votes,4.1,"172, 7, Acharya Jagadish Chandra Bose Road, Park Circus Area, Kolkata","Chinese, Italian, Continental",₹600,12noon – 11:30pm (Mon-Sun),22.5433573,88.3600605
Dosa Coffee,173 votes,4.2,"11/1, Ideal Plaza, Sarat Bose Road, Elgin, Kolkata","North Indian, Chinese",₹400,9am – 7pm (Mon-Sun),22.4248511,87.3275792
Bombay Shiv Sagar,1394 votes,4.1,"1st Floor, Pantaloons Building, Block B, 22, Camac Street Area, Kolkata","North Indian, Chinese",₹650,11am – 10:45pm (Mon-Sun),22.5465254,88.35351415
Cakes,580 votes,4.1,"42A, Rawdon Street, Loudon Street Area, Kolkata","Biryani, Mughlai, North Indian",₹250,7:30am – 10pm (Mon-Sun),22.5445438,88.3584265
