name,voteCount,rating,address,cusine,cost,timing,lat,long
Abbas Biryani House & Snacks,13 votes,3.4,"7/1, C N Roy Road, Near Young Star Club, Picnic Garden, Kolkata","North Indian, Chinese",₹250,11am – 11pm (Mon-Sun),22.5126466,87.83108305
Waterfall Bar & Restaurant,Cuisines:,-,"Hotel Manish, P1, Ground Floor, Howrah Road, Howrah Station Area, Howrah","Biryani, North Indian",₹600,11am – 11pm (Mon-Sun),22.5868681,88.3413076
Jaya Restaurant And Fast Food Center,Cuisines:,-,"5P, MG Road, Howrah Maidan Area, Howrah","Biryani, North Indian",₹400,11am – 11pm (Mon-Sun),22.6094017,88.34160485
Sangam Biryani House,Cuisines:,-,"2, Tiljala Road, Picnic Garden, Kolkata","North Indian, Chinese, Fast Food",₹350,12noon – 11pm (Mon-Sun),22.529618,88.374811
Prasad Jalpan,Cuisines:,-,"8/A, Dr G S Bose Road, Nator Park, Kasba, Kolkata","North Indian, Chinese, Fast Food",₹400,"5pm – 11:30pm (Mon-Sat),12noon – 11:30pm (Sun)",22.3892571,87.284103
Streetoz,Cuisines:,,"151 F, Raja Dinendra Street, Shyam Bazar, Kolkata","Chinese, North Indian, Rolls",₹300,,22.5981227,88.3770614
Tasty Fast Food,Cuisines:,-,"Banitabla, Uluberia, Near Panpur More, Howrah Maidan Area, Howrah","Chinese, North Indian, Rolls",₹200,7am – 11pm (Mon-Sun),22.4794228,88.0924056
Annapurna Fast Food Center,Cuisines:,-,"150, Dr. GS Bose Road, Picnic Garden, Kolkata",Fast Food,₹300,4pm – 11:30pm (Mon-Sun),22.528447,88.375619
Prakash Hindu Hotel,Cuisines:,-,"1/3, I C Bose Road, Howrah Station Area, Howrah",Fast Food,₹100,7am – 12midnight (Mon-Sun),22.3909989,87.32251695
Lazawab,Cuisines:,-,"C.I.T Scheme VII M, Ultadanga, Kolkata",Chinese,₹400,12noon – 10:30pm (Mon-Sun),22.58981635,88.3923599
Foodie,Cuisines:,-,"497/1, Banerjee Para Road, Near Netaji Metro Station, Tollygunge, Kolkata",Chinese,₹150,"Closed (Mon),8:30am – 12:30pm, 5pm – 10pm (Tue-Sun)",21.5563635,87.1406275
Haji Food Centre,Cuisines:,,"24, Sahapur Main Road, Alipore, Kolkata","Pizza, Fast Food",₹200,,22.5055822,88.3247962
Ice Land,Cuisines:,-,"32, Avani River Side Mall, Jagat Banerjee Ghat Road, Shibpur, Howrah","Pizza, Fast Food",₹300,11am – 10pm (Mon-Sun),22.5630727,88.3235615
Shin Chan,4 votes,3.1,"108/110/1, G.T Road, Shibpur, Howrah","Fast Food, Mughlai",₹200,12noon – 12:30am (Mon-Sun),22.8046754,87.87483195
